seg,type,dim,N,rep,precond,policy,frac,eff_bits,code_bytes_per_vec,sidecar_bytes,total_bytes_per_vec,ceil20,ceil50,ceil100,ceil200,ceil500,ceil_max,min_ef_095,feasible_095,build_ms
4,iso768,768,5000,uniform1,none,uniform,0.00,1.000,96,0,96,0.1150,0.2350,0.3880,0.5840,0.8300,0.8300,-1,0,11818
4,iso768,768,5000,smart1,none,condmean,0.00,1.000,96,0,96,0.1140,0.2440,0.3980,0.6230,0.8680,0.8680,-1,0,11967
4,iso768,768,5000,uniform2,none,uniform,0.00,2.000,192,0,192,0.2320,0.4170,0.5950,0.7620,0.9250,0.9250,-1,0,9998
4,iso768,768,5000,uniform4,none,uniform,0.00,4.000,384,0,384,0.5350,0.7650,0.8890,0.9540,0.9910,0.9910,200,1,7827
4,iso768,768,5000,frac1.25,none,random,0.25,1.250,120,0,120,0.1130,0.2270,0.3720,0.5720,0.8070,0.8070,-1,0,11983
4,iso768,768,5000,frac1.25,none,variance,0.25,1.250,120,0,120,0.1170,0.2360,0.3700,0.5660,0.8180,0.8180,-1,0,12048
4,iso768,768,5000,frac1.25,none,recon,0.25,1.250,120,0,120,0.1250,0.2460,0.3850,0.5790,0.8120,0.8120,-1,0,11928
4,iso768,768,5000,frac1.25,none,nbhd,0.25,1.250,120,0,120,0.1060,0.2280,0.3800,0.5690,0.8110,0.8110,-1,0,11907
4,iso768,768,5000,frac1.5,none,random,0.50,1.500,144,0,144,0.1030,0.2150,0.3540,0.5530,0.8060,0.8060,-1,0,11885
4,iso768,768,5000,frac1.5,none,variance,0.50,1.500,144,0,144,0.1140,0.2280,0.3710,0.5670,0.8070,0.8070,-1,0,11981
4,iso768,768,5000,frac1.5,none,recon,0.50,1.500,144,0,144,0.1120,0.2300,0.3610,0.5560,0.7890,0.7890,-1,0,11939
4,iso768,768,5000,frac1.5,none,nbhd,0.50,1.500,144,0,144,0.1180,0.2200,0.3700,0.5660,0.7940,0.7940,-1,0,11878
4,iso768,768,5000,had_uniform1,hadamard,uniform,0.00,1.333,128,0,128,0.1250,0.2720,0.4600,0.7020,0.9080,0.9080,-1,0,15787
4,iso768,768,5000,had_frac1.5,hadamard,variance,0.50,2.000,192,0,192,0.1360,0.2840,0.4660,0.6670,0.8780,0.8780,-1,0,15806
4,iso768,768,5000,fp32,none,none,0.00,32.000,3072,0,3072,0.5800,0.7970,0.9090,0.9690,0.9950,0.9950,200,1,6352
