kernel,representation,bit_width,dimension,implementation,isa,access_pattern,cache_mode,query_prep_ns,score_ns,cycles_per_score_est,cycles_per_dim_est,scores_per_second_M,bytes_per_score
4bit_lut,4bit,4,768,lut,arm64-jit,random,large_LLC_pressure,8458.0,716.68,3153.39,4.106,1.4,384
fp32,fp32,32,768,scalar,arm64-jit,sequential,hot_L1L2,41.0,547.09,2407.22,3.134,1.8,3072
fp32,fp32,32,768,scalar,arm64-jit,random,hot_L1L2,125.0,547.71,2409.94,3.138,1.8,3072
fp32,fp32,32,768,scalar,arm64-jit,sequential,large_LLC_pressure,42.0,544.97,2397.87,3.122,1.8,3072
fp32,fp32,32,768,scalar,arm64-jit,random,large_LLC_pressure,167.0,653.33,2874.67,3.743,1.5,3072
1bit_scalar,1bit,1,1536,scalar,arm64-jit,sequential,hot_L1L2,42.0,2186.30,9619.71,6.263,0.5,192
1bit_lut,1bit,1,1536,lut,arm64-jit,sequential,hot_L1L2,5458.0,1290.58,5678.55,3.697,0.8,192
1bit_scalar,1bit,1,1536,scalar,arm64-jit,random,hot_L1L2,42.0,2192.42,9646.63,6.280,0.5,192
1bit_lut,1bit,1,1536,lut,arm64-jit,random,hot_L1L2,5500.0,1254.82,5521.22,3.595,0.8,192
1bit_scalar,1bit,1,1536,scalar,arm64-jit,sequential,large_LLC_pressure,0.0,2184.34,9611.12,6.257,0.5,192
1bit_lut,1bit,1,1536,lut,arm64-jit,sequential,large_LLC_pressure,5541.0,1288.05,5667.44,3.690,0.8,192
1bit_scalar,1bit,1,1536,scalar,arm64-jit,random,large_LLC_pressure,41.0,2365.95,10410.20,6.777,0.4,192
1bit_lut,1bit,1,1536,lut,arm64-jit,random,large_LLC_pressure,5417.0,1383.33,6086.65,3.963,0.7,192
2bit_scalar,2bit,2,1536,scalar,arm64-jit,sequential,hot_L1L2,42.0,2188.49,9629.35,6.269,0.5,384
2bit_lut,2bit,2,1536,lut,arm64-jit,sequential,hot_L1L2,7292.0,1256.15,5527.04,3.598,0.8,384
2bit_scalar,2bit,2,1536,scalar,arm64-jit,random,hot_L1L2,41.0,2188.82,9630.80,6.270,0.5,384
2bit_lut,2bit,2,1536,lut,arm64-jit,random,hot_L1L2,7500.0,1260.46,5546.03,3.611,0.8,384
2bit_scalar,2bit,2,1536,scalar,arm64-jit,sequential,large_LLC_pressure,41.0,2183.61,9607.87,6.255,0.5,384
2bit_lut,2bit,2,1536,lut,arm64-jit,sequential,large_LLC_pressure,7583.0,1255.66,5524.88,3.597,0.8,384
2bit_scalar,2bit,2,1536,scalar,arm64-jit,random,large_LLC_pressure,42.0,2293.56,10091.65,6.570,0.4,384
2bit_lut,2bit,2,1536,lut,arm64-jit,random,large_LLC_pressure,10167.0,1374.27,6046.79,3.937,0.7,384
4bit_scalar,4bit,4,1536,scalar,arm64-jit,sequential,hot_L1L2,42.0,2192.52,9647.08,6.281,0.5,768
