config,datatype,dim,metric,k,cr_k,cr_2k,cr_3k,cr_5k,cr_10k,cr_100,err_spearman,err_resid_std_norm,err_bias
adc_rot,uniform,1024,l2,10,0.2160,0.3190,0.3920,0.5110,0.6640,0.6640,0.7163,0.6787,-0.0000
adc_rot,uniform,1024,l2,50,0.3046,0.4480,0.5482,0.6796,0.8344,0.4480,0.7163,0.6787,-0.0000
adc_rot,uniform,1024,l2,100,0.3500,0.5150,0.6267,0.7594,0.9107,0.3500,0.7163,0.6787,-0.0000
baseline,uniform,1024,cosine,10,0.2220,0.3330,0.4060,0.5030,0.6590,0.6590,0.7348,0.6591,-0.0000
baseline,uniform,1024,cosine,50,0.3074,0.4576,0.5588,0.6836,0.8448,0.4576,0.7348,0.6591,-0.0000
baseline,uniform,1024,cosine,100,0.3638,0.5315,0.6395,0.7707,0.9160,0.3638,0.7348,0.6591,-0.0000
adc,uniform,1024,cosine,10,0.1650,0.2400,0.2990,0.3940,0.5340,0.5340,0.6343,0.7548,-0.0000
adc,uniform,1024,cosine,50,0.2384,0.3504,0.4296,0.5530,0.7276,0.3504,0.6343,0.7548,-0.0000
adc,uniform,1024,cosine,100,0.2736,0.4126,0.5143,0.6487,0.8252,0.2736,0.6343,0.7548,-0.0000
rotation,uniform,1024,cosine,10,0.1420,0.2200,0.2740,0.3520,0.4960,0.4960,0.6190,0.7688,-0.0000
rotation,uniform,1024,cosine,50,0.2102,0.3276,0.4110,0.5250,0.6968,0.3276,0.6190,0.7688,-0.0000
rotation,uniform,1024,cosine,100,0.2561,0.3937,0.4895,0.6197,0.8044,0.2561,0.6190,0.7688,-0.0000
adc_rot,uniform,1024,cosine,10,0.1410,0.2160,0.2700,0.3480,0.4790,0.4790,0.5995,0.7860,0.0000
adc_rot,uniform,1024,cosine,50,0.2080,0.3146,0.3944,0.5090,0.6832,0.3146,0.5995,0.7860,0.0000
adc_rot,uniform,1024,cosine,100,0.2502,0.3848,0.4752,0.6078,0.7942,0.2502,0.5995,0.7860,0.0000
baseline,uniform,1536,l2,10,0.1940,0.2830,0.3410,0.4240,0.5650,0.5650,0.6687,0.7243,-0.0000
baseline,uniform,1536,l2,50,0.2606,0.3894,0.4754,0.5940,0.7750,0.3894,0.6687,0.7243,-0.0000
baseline,uniform,1536,l2,100,0.3092,0.4554,0.5583,0.6965,0.8646,0.3092,0.6687,0.7243,-0.0000
adc,uniform,1536,l2,10,0.2740,0.3910,0.4910,0.6010,0.7400,0.7400,0.7781,0.6062,0.0000
adc,uniform,1536,l2,50,0.3730,0.5334,0.6392,0.7644,0.9036,0.5334,0.7781,0.6062,0.0000
adc,uniform,1536,l2,100,0.4249,0.6018,0.7083,0.8373,0.9534,0.4249,0.7781,0.6062,0.0000
rotation,uniform,1536,l2,10,0.1270,0.1800,0.2230,0.2900,0.4050,0.4050,0.5649,0.8123,0.0000
rotation,uniform,1536,l2,50,0.1806,0.2812,0.3484,0.4550,0.6226,0.2812,0.5649,0.8123,0.0000
rotation,uniform,1536,l2,100,0.2255,0.3416,0.4304,0.5566,0.7536,0.2255,0.5649,0.8123,0.0000
adc_rot,uniform,1536,l2,10,0.2210,0.3250,0.3900,0.4960,0.6370,0.6370,0.7205,0.6791,-0.0000
adc_rot,uniform,1536,l2,50,0.3032,0.4458,0.5430,0.6696,0.8308,0.4458,0.7205,0.6791,-0.0000
adc_rot,uniform,1536,l2,100,0.3482,0.5072,0.6129,0.7555,0.9036,0.3482,0.7205,0.6791,-0.0000
baseline,uniform,1536,cosine,10,0.2270,0.3440,0.4160,0.5230,0.6810,0.6810,0.7343,0.6587,0.0000
baseline,uniform,1536,cosine,50,0.3168,0.4642,0.5620,0.6854,0.8444,0.4642,0.7343,0.6587,0.0000
baseline,uniform,1536,cosine,100,0.3679,0.5313,0.6409,0.7758,0.9123,0.3679,0.7343,0.6587,0.0000
adc,uniform,1536,cosine,10,0.1300,0.2000,0.2590,0.3510,0.4710,0.4710,0.6289,0.7607,-0.0000
adc,uniform,1536,cosine,50,0.2280,0.3378,0.4140,0.5292,0.7112,0.3378,0.6289,0.7607,-0.0000
adc,uniform,1536,cosine,100,0.2723,0.4053,0.5056,0.6426,0.8247,0.2723,0.6289,0.7607,-0.0000
rotation,uniform,1536,cosine,10,0.1510,0.2220,0.2740,0.3530,0.4790,0.4790,0.6208,0.7682,0.0000
rotation,uniform,1536,cosine,50,0.2152,0.3252,0.4006,0.5200,0.6974,0.3252,0.6208,0.7682,0.0000
rotation,uniform,1536,cosine,100,0.2578,0.3901,0.4878,0.6219,0.8100,0.2578,0.6208,0.7682,0.0000
adc_rot,uniform,1536,cosine,10,0.1440,0.2400,0.2770,0.3540,0.4860,0.4860,0.6064,0.7819,-0.0000
adc_rot,uniform,1536,cosine,50,0.2102,0.3174,0.3912,0.5090,0.6788,0.3174,0.6064,0.7819,-0.0000
adc_rot,uniform,1536,cosine,100,0.2498,0.3760,0.4708,0.6041,0.7871,0.2498,0.6064,0.7819,-0.0000
baseline,sift_real,128,l2,10,0.3240,0.4740,0.5530,0.6520,0.7860,0.7860,0.8487,0.4316,-0.0000
baseline,sift_real,128,l2,50,0.4208,0.6082,0.7060,0.8206,0.9306,0.6082,0.8487,0.4316,-0.0000
baseline,sift_real,128,l2,100,0.4853,0.6795,0.7868,0.8878,0.9718,0.4853,0.8487,0.4316,-0.0000
adc,sift_real,128,l2,10,0.4070,0.5920,0.7090,0.8190,0.9220,0.9220,0.9082,0.2899,0.0000
adc,sift_real,128,l2,50,0.5374,0.7402,0.8402,0.9362,0.9884,0.7402,0.9082,0.2899,0.0000
adc,sift_real,128,l2,100,0.5944,0.8133,0.9047,0.9690,0.9973,0.5944,0.9082,0.2899,0.0000
rotation,sift_real,128,l2,10,0.3930,0.5830,0.6640,0.7720,0.8980,0.8980,0.9081,0.3016,0.0000
rotation,sift_real,128,l2,50,0.5028,0.6986,0.8066,0.9024,0.9762,0.6986,0.9081,0.3016,0.0000
rotation,sift_real,128,l2,100,0.5531,0.7703,0.8646,0.9481,0.9945,0.5531,0.9081,0.3016,0.0000
adc_rot,sift_real,128,l2,10,0.5110,0.7170,0.8130,0.9000,0.9710,0.9710,0.9309,0.2358,-0.0000
adc_rot,sift_real,128,l2,50,0.6072,0.8180,0.9064,0.9672,0.9966,0.8180,0.9309,0.2358,-0.0000
adc_rot,sift_real,128,l2,100,0.6536,0.8709,0.9424,0.9872,0.9995,0.6536,0.9309,0.2358,-0.0000
baseline,sift_real,128,cosine,10,0.3260,0.4760,0.5520,0.6510,0.7860,0.7860,0.8492,0.4311,0.0000
baseline,sift_real,128,cosine,50,0.4206,0.6086,0.7080,0.8218,0.9302,0.6086,0.8492,0.4311,0.0000
baseline,sift_real,128,cosine,100,0.4855,0.6797,0.7867,0.8881,0.9720,0.4855,0.8492,0.4311,0.0000
adc,sift_real,128,cosine,10,0.1960,0.3200,0.3970,0.5210,0.6870,0.6870,0.9361,0.3230,-0.0000
adc,sift_real,128,cosine,50,0.3414,0.5058,0.6182,0.7576,0.9206,0.5058,0.9361,0.3230,-0.0000
adc,sift_real,128,cosine,100,0.4117,0.6105,0.7332,0.8738,0.9825,0.4117,0.9361,0.3230,-0.0000
rotation,sift_real,128,cosine,10,0.3920,0.5840,0.6680,0.7760,0.9020,0.9020,0.9086,0.3006,-0.0000
rotation,sift_real,128,cosine,50,0.5028,0.7012,0.8084,0.9042,0.9764,0.7012,0.9086,0.3006,-0.0000
rotation,sift_real,128,cosine,100,0.5541,0.7694,0.8648,0.9485,0.9948,0.5541,0.9086,0.3006,-0.0000
adc_rot,sift_real,128,cosine,10,0.3350,0.4930,0.5930,0.7030,0.8340,0.8340,0.8705,0.4183,0.0000
adc_rot,sift_real,128,cosine,50,0.4508,0.6408,0.7450,0.8574,0.9604,0.6408,0.8705,0.4183,0.0000
adc_rot,sift_real,128,cosine,100,0.5029,0.7122,0.8205,0.9235,0.9888,0.5029,0.8705,0.4183,0.0000
