config,datatype,dim,metric,k,cr_k,cr_2k,cr_3k,cr_5k,cr_10k,cr_100,err_spearman,err_resid_std_norm,err_bias
rotation,isotropic,1024,l2,50,0.1414,0.2290,0.2938,0.3970,0.5672,0.2290,0.5077,0.8499,0.0000
rotation,isotropic,1024,l2,100,0.1863,0.2996,0.3844,0.5067,0.6999,0.1863,0.5077,0.8499,0.0000
adc_rot,isotropic,1024,l2,10,0.1500,0.2300,0.2990,0.3930,0.5290,0.5290,0.6345,0.7562,0.0000
adc_rot,isotropic,1024,l2,50,0.2350,0.3544,0.4404,0.5654,0.7402,0.3544,0.6345,0.7562,0.0000
adc_rot,isotropic,1024,l2,100,0.2825,0.4276,0.5295,0.6661,0.8443,0.2825,0.6345,0.7562,0.0000
baseline,isotropic,1024,cosine,10,0.1300,0.1970,0.2590,0.3320,0.4580,0.4580,0.6223,0.7653,-0.0000
baseline,isotropic,1024,cosine,50,0.2138,0.3234,0.4092,0.5242,0.6934,0.3234,0.6223,0.7653,-0.0000
baseline,isotropic,1024,cosine,100,0.2599,0.3991,0.4924,0.6250,0.8072,0.2599,0.6223,0.7653,-0.0000
adc,isotropic,1024,cosine,10,0.1140,0.1720,0.2200,0.3100,0.4290,0.4290,0.6122,0.7756,-0.0000
adc,isotropic,1024,cosine,50,0.1980,0.3016,0.3858,0.4970,0.6670,0.3016,0.6122,0.7756,-0.0000
adc,isotropic,1024,cosine,100,0.2428,0.3763,0.4685,0.6046,0.7964,0.2428,0.6122,0.7756,-0.0000
rotation,isotropic,1024,cosine,10,0.1220,0.1950,0.2370,0.3220,0.4590,0.4590,0.6210,0.7693,-0.0000
rotation,isotropic,1024,cosine,50,0.2064,0.3146,0.3978,0.5196,0.6970,0.3146,0.6210,0.7693,-0.0000
rotation,isotropic,1024,cosine,100,0.2545,0.3934,0.4926,0.6216,0.8039,0.2545,0.6210,0.7693,-0.0000
adc_rot,isotropic,1024,cosine,10,0.1140,0.1740,0.2240,0.3000,0.4320,0.4320,0.6027,0.7836,0.0000
adc_rot,isotropic,1024,cosine,50,0.1964,0.3072,0.3900,0.5078,0.6786,0.3072,0.6027,0.7836,0.0000
adc_rot,isotropic,1024,cosine,100,0.2495,0.3829,0.4756,0.6081,0.7970,0.2495,0.6027,0.7836,0.0000
baseline,isotropic,1536,l2,10,0.0950,0.1390,0.1720,0.2360,0.3420,0.3420,0.4883,0.8582,0.0000
baseline,isotropic,1536,l2,50,0.1526,0.2326,0.2974,0.4038,0.5642,0.2326,0.4883,0.8582,0.0000
baseline,isotropic,1536,l2,100,0.1906,0.3002,0.3821,0.5033,0.6962,0.1906,0.4883,0.8582,0.0000
adc,isotropic,1536,l2,10,0.1670,0.2440,0.2930,0.4090,0.5550,0.5550,0.6303,0.7574,-0.0000
adc,isotropic,1536,l2,50,0.2448,0.3658,0.4556,0.5758,0.7472,0.3658,0.6303,0.7574,-0.0000
adc,isotropic,1536,l2,100,0.2886,0.4304,0.5304,0.6657,0.8373,0.2886,0.6303,0.7574,-0.0000
rotation,isotropic,1536,l2,10,0.0820,0.1350,0.1770,0.2490,0.3510,0.3510,0.5083,0.8494,0.0000
rotation,isotropic,1536,l2,50,0.1492,0.2312,0.2964,0.3926,0.5608,0.2312,0.5083,0.8494,0.0000
rotation,isotropic,1536,l2,100,0.1835,0.2881,0.3698,0.4992,0.6941,0.1835,0.5083,0.8494,0.0000
adc_rot,isotropic,1536,l2,10,0.1600,0.2430,0.3090,0.4170,0.5490,0.5490,0.6374,0.7545,-0.0000
adc_rot,isotropic,1536,l2,50,0.2392,0.3600,0.4440,0.5626,0.7332,0.3600,0.6374,0.7545,-0.0000
adc_rot,isotropic,1536,l2,100,0.2834,0.4219,0.5235,0.6636,0.8396,0.2834,0.6374,0.7545,-0.0000
baseline,isotropic,1536,cosine,10,0.1300,0.1930,0.2530,0.3330,0.4610,0.4610,0.6075,0.7742,0.0000
baseline,isotropic,1536,cosine,50,0.2234,0.3344,0.4184,0.5392,0.7114,0.3344,0.6075,0.7742,0.0000
baseline,isotropic,1536,cosine,100,0.2673,0.4028,0.4998,0.6369,0.8174,0.2673,0.6075,0.7742,0.0000
adc,isotropic,1536,cosine,10,0.1370,0.2010,0.2530,0.3390,0.4520,0.4520,0.6019,0.7799,0.0000
adc,isotropic,1536,cosine,50,0.2004,0.3092,0.3852,0.4988,0.6796,0.3092,0.6019,0.7799,0.0000
adc,isotropic,1536,cosine,100,0.2413,0.3713,0.4671,0.6077,0.7960,0.2413,0.6019,0.7799,0.0000
rotation,isotropic,1536,cosine,10,0.1560,0.2410,0.3020,0.3800,0.5040,0.5040,0.6200,0.7695,0.0000
rotation,isotropic,1536,cosine,50,0.2146,0.3262,0.4080,0.5188,0.6938,0.3262,0.6200,0.7695,0.0000
rotation,isotropic,1536,cosine,100,0.2588,0.3914,0.4855,0.6186,0.8100,0.2588,0.6200,0.7695,0.0000
adc_rot,isotropic,1536,cosine,10,0.1290,0.2060,0.2680,0.3470,0.4730,0.4730,0.6109,0.7803,-0.0000
adc_rot,isotropic,1536,cosine,50,0.2072,0.3162,0.3918,0.5028,0.6728,0.3162,0.6109,0.7803,-0.0000
adc_rot,isotropic,1536,cosine,100,0.2495,0.3760,0.4707,0.6034,0.7942,0.2495,0.6109,0.7803,-0.0000
baseline,anisotropic,128,l2,10,0.0480,0.0730,0.0880,0.1290,0.1880,0.1880,0.3269,0.9421,0.0000
baseline,anisotropic,128,l2,50,0.0902,0.1430,0.1868,0.2648,0.4114,0.1430,0.3269,0.9421,0.0000
baseline,anisotropic,128,l2,100,0.1142,0.1935,0.2525,0.3556,0.5454,0.1142,0.3269,0.9421,0.0000
adc,anisotropic,128,l2,10,0.0720,0.1130,0.1420,0.2030,0.3120,0.3120,0.4072,2.1085,-0.0001
adc,anisotropic,128,l2,50,0.1260,0.2026,0.2666,0.3614,0.5312,0.2026,0.4072,2.1085,-0.0001
adc,anisotropic,128,l2,100,0.1601,0.2645,0.3413,0.4660,0.6585,0.1601,0.4072,2.1085,-0.0001
rotation,anisotropic,128,l2,10,0.0430,0.0670,0.0900,0.1380,0.1940,0.1940,0.3218,0.9440,0.0000
rotation,anisotropic,128,l2,50,0.0834,0.1350,0.1756,0.2566,0.4018,0.1350,0.3218,0.9440,0.0000
rotation,anisotropic,128,l2,100,0.1101,0.1877,0.2506,0.3522,0.5409,0.1101,0.3218,0.9440,0.0000
adc_rot,anisotropic,128,l2,10,0.0850,0.1190,0.1510,0.2050,0.3050,0.3050,0.4098,4.0335,-0.0001
adc_rot,anisotropic,128,l2,50,0.1250,0.1982,0.2556,0.3562,0.5196,0.1982,0.4098,4.0335,-0.0001
adc_rot,anisotropic,128,l2,100,0.1593,0.2571,0.3379,0.4567,0.6480,0.1593,0.4098,4.0335,-0.0001
